и	i
живут	ʐɨˈvut
рука	ruˈka
решение	rɛˈʃɛniɛ
кофе	kofe
посмотреть	pəsmɐˈtret
усмехнулся	ʊsmɪxˈnuɫsə
вашей	ˈvaʂɨj
стихи	stɪˈxi
болезни	bɐˈleznɪ
вторых	ftɐˈrɨx
практически	prɐkˈtit͡ɕɪskɪ
примерно	ˈprimɛrnɔ
ниже	ˈniʒɛ
бутылку	bʊˈtɨɫkʊ
километров	kɪɫɐˈmetrəf
профессор	professor
слезы	slɪˈzɨ
газеты	ɡɐˈzetɨ
зря	zra̟
уверен	oˈvɛrɛn
бог	box
шаг	szah
дочь	dot͡ɕ
нескольких	ˈneskəlkɪx
касается	kɐˈsajɪt͡sə
количество	koˈlit͡ʃɛstvo
зовут	zɐˈvut
товарищи	tɐˈvarɪɕːɪ
делу	ˈdeɫʊ
ваше	ˈvaʃɛ
уши	oˈʃi
оружие	ɐˈruʐɨje
приходится	prɪˈxodɪt͡sə
характер	strength
площади	ˈpɫoɕːɪdɪ
точки	ˈtɔt͡ʃki
позже	ˈpoʐːɨ
внизу	vnɪˈzu
твоя	ˈtvɔjɐ
жалко	ˈʐaɫkə
сзади	ˈzːadɪ
оставалось	ɐstɐˈvaɫəs
типа	ˈtipə
важно	ˈvaʒnɔ
тотчас	ˈtot͡ɕːɪs
считал	ɕːɪˈtaɫ
форме	ˈforme
русский	ˈruskɪj
вероятно	vɛroˈja̟tno
остальные	ɐstɐlˈnɨje
получилось	pəɫʊˈt͡ɕiɫəs
черные	
проговорил	prəɡəvɐˈriɫ
скажем	ˈskaʐɨm
компании	kɔmˈpanii
идут	ɪˈdut
сердца	ˈsert͡sə
черный	
доктор	ˈdɔktor
душа	duˈʂa
другая	drʊˈɡajə
зато	zɐˈto
засмеялся	zəsmɪˈjaɫsə
ждет	
школы	ˈʂkoɫɨ
решительно	rɪˈʂɨtɪlnə
лоб	ɫop
месяцев	ˈmesɪt͡sɨf
моим	mɐˈim
хлеба	ˈxlebə
большую	
боялся	bɐˈjaɫsə
внезапно	vnɛˈzapno
впечатление	fpɛt͡ʃɐˈtlɛniɛ
принялся	prɪnɪɫˈsa
смог	smɔk
приказал	prɪkɐˈzaɫ
получается	pəɫʊˈt͡ɕæjɪt͡sə
обо	ɐbə
подумать	pɐˈdumət
средства	ˈsrɛtstva
крепко	ˈkrɛpkɔ
прошу	prɐˈʂu
крайней	
порядок	pɐˈradək
уйти	ʊjˈti
собственно	ˈsopstvɪnːə
взглянул	vzɡlɪˈnuɫ
немцы	ˈnemt͡sɨ
школу	ˈʂkoɫʊ
отвечал	ɐtvɪˈt͡ɕaɫ
сидеть	sɪˈdet
видишь	ˈvidɪʂ
рано	ˈrano
второго	ftɐˈrovə
цвета	ˈt͡svɛta
редко	ˈretkə
прошлом	ˈproʂɫəm
спрашивает	ˈspraʂɨvəjɪt
секунду	sɪˈkundʊ
которыми	
страх	strax
этими	ˈɛtɪmɪ
реки	ˈrɛki
девочка	ˈdevət͡ɕkə
слушал	ˈsɫuʃɐɫ
смотрела	smɐˈtreɫə
гости	ˈɡɔsti
хотели	xɐˈtelɪ
разу	ˈrazu
собственной	
абсолютно	ɐpsoˈlu̟tno
нашим	ˈnaʂɨm
пойдет	
окончательно	ɐkɐnˈt͡ɕætɪlnə
честно	ˈt͡ɕesnə
станции	ˈstant͡sɨɪ
честь	t͡ɕest
пятнадцать	pɪtˈnat͡sːɨt
кармана	kɐrˈmanə
хлеб	xlep
темно	ˈtɛmnɔ
неизвестно	nɛiˈzvɛsno
лестнице	ˈlesnɪt͡sɨ
новую	ˈnovuju
пяти	pɪˈti
придет	
целый	ˈt͡sɛɫɨj
будете	boˈdɛtɛ
полной	
берег	ˈberɪk
разумеется	rəzʊˈmejɪt͡sə
семьи	sɪˈmji
прошло	prɐʂˈɫo
носом	ˈnosəm
дел	del
белый	ˈbeɫɨj
правило	ˈpraviɫo
карман	kɐrˈman
принять	prɪˈnæt
объяснить	ɐbjɪsˈnit
близко	ˈbliskə
темноте	tɪmnɐˈte
квартиры	kvɐrˈtirɨ
кровати	krɐˈvatɪ
удар	ˈudɐr
колени	kɐˈlenɪ
принял	ˈprinɪɫ
женой	ʐɨˈnoj
стакан	staˈkan
делом	ˈdeɫəm
тени	ˈtenɪ
шею	ˈʂɛjʊ
командир	kɔmanˈdir
жизнью	ˈʐɨznjʊ
мгновение	mɡnɐˈvenɪje
видом	ˈvidəm
рождения	rɐʐˈdenɪjə
взяла	vzɪˈɫa
документы	dəkʊˈmentɨ
жену	ʐɨˈnu
каждом	ˈkaʐdəm
страха	ˈstraxə
далее	ˈdalɪje
вернуться	vɪrˈnut͡sːə
полковник	poɫˈkɔvnik
план	pɫan
небольшой	nɪbɐlˈʂoj
твои	ˈtvɔi
играть	ɪˈɡrat
взяли	ˈvzælɪ
белые	ˈbeɫɨje
пожал	pɐˈʐaɫ
воскликнул	vɐˈskliknʊɫ
сообщил	sɐɐpˈɕːiɫ
еле	ˈjele
кричал	krɪˈt͡ɕaɫ
спал	spaɫ
ушла	ʊʂˈɫa
основном	ɐsnɐvˈnom
моем	ˈmojɪm
вести	ˈvɛsti
дед	det
местах	mɪˈstax
деревне	dɪˈrevne
чисто	ˈt͡ʃistɔ
ребят	rɪˈbat
сожалению	səʐɨˈlenɪjʊ
никуда	nɪkʊˈda
лежали	lɛˈʒa̟li
черной	
бывало	bɨˈvaɫə
период	pɛriˈɔt
угол	ˈuɡəɫ
иной	ɪˈnoj
держал	dɪrˈʐaɫ
хватало	xvɐˈtaɫə
другому	drʊˈɡomʊ
проблемы	prɐˈblemɨ
твердо	ˈtʋɛrdɔ
зал	zal
можем	ˈmɔʒɛm
белой	ˈbeɫəj
русской	ˈruskəj
деятельности	ˈdejɪtɪlnəstɪ
ими	iːmiː
нету	ˈnetʊ
вашего	ˈvaʂɨvə
новое	ˈnovəjə
начальника	nɐˈt͡ɕælnɪkə
видит	ˈvidɪt
будь	but
вытащил	ˈvɨtəɕːɪɫ
брата	ˈbrata
купить	kʊˈpit
буквально	bʊkˈvalnə
слышно	ˈsɫɨʂnə
камень	ˈkamen
первом	ˈpervəm
понимаете	pənɪˈmajɪte
первая	ˈpervəjə
земля	zɪˈmla
говорится	ɡəvɐˈrit͡sːə
думаешь	ˈduməjɪʂ
чувства	ˈt͡ʃufstva
стараясь	stɐˈrajɪs
живой	ʐɨˈvoj
написано	nɐˈpisɐno
осталась	ɐˈstaɫəs
рассказать	rəskɐˈzat
поняла	pənɪˈɫa
сделали	ˈzdeɫəlɪ
информации	ɪnfɐrˈmat͡sɨɪ
первое	ˈpervəjə
стоят	ˈstojət
телефон	tiliˈfo̞n
сутки	ˈsutkɪ
имеют	ɪˈmejʊt
видите	ˈviditɛ
сознание	sɔˈznanijɛ
наверняка	nəvɪrnɪˈka
сила	ˈsiɫɐ
мгновенно	mɡnɐˈvenːə
хотят	xɐˈtat
нашли	nɐʂˈli
цели	ˈt͡sɛli
само	ˈsamo
поля	ˈpolə
видела	ˈvidɛɫɐ
населения	nəsɪˈlenɪjə
потерял	pətɪˈraɫ
судьба	sʊdˈba
ухо	oˈxɔ
миг	mik
спустя	spʊˈsta
зная	ˈznajɐ
моря	moˈrɤ̟
дверью	ˈdverjʊ
знаем	ˈznajɪm
берет	beret
старший	ˈstarʂɨj
имею	ɪˈmejʊ
желание	ʒɛˈɫaniɛ
опыт	ˈopɨt
пальто	pæɬtɔˑ
дай	daj
глубоко	ɡɫʊbɐˈko
скажи	skɐˈʐɨ
процесс	protsess
специально	spɪt͡sɨˈalnə
кусок	ˈkusɔk
объяснил	ɐbjɪsˈniɫ
правду	ˈpravdʊ
система	siˈstɛmɐ
кабинет	kɐbiˈnɛt
п	pe
ничем	nɪˈt͡ɕem
шум	ˈʂum
лежала	lɛˈʒa̟ɫɐ
дорога	dɐˈroɡə
майор	maior
делают	ˈdeɫəjʊt
старался	stɐˈraɫsə
заранее	zɐˈranɪje
сторон	stɐˈron
управления	ʊprɐˈvlenɪjə
службы	ˈsɫuʐbɨ
изо	ɪzə
дождь	doʂt
собака	sɔˈbɑkɑ
русских	ˈruskɪx
приказ	ˈprikas
центре	ˈt͡sɛntre
положено	pɐˈɫoʐɨnə
спросить	sprɐˈsit
рассказ	rɐˈskas
пойду	pɐjˈdu
срок	srɔk
спасибо	spɐˈsibə
появилась	pəjɪˈviɫəs
вскочил	fskɐˈt͡ɕiɫ
заявил	zəjɪˈviɫ
такими	tɐˈkimɪ
мужик	mʊˈʐɨk
кухню	ˈkuxnʊ
всякого	
лицу	lɪˈt͡su
кругом	krʊˈɡom
хозяина	xɐˈzaɪnə
рассказывать	rɐˈskazɨvət
выражение	vɨrɐˈʐɛnɪje
молодых	məɫɐˈdɨx
класса	ˈkɫasə
удовольствием	ʊdɐˈvolstvɪjɪm
другими	drʊˈɡimɪ
старика	stərɪˈka
полтора	pəɫtɐˈra
слушать	ˈsɫuʂət
машин	maˈɕiŋ
схватил	sxvɐˈtiɫ
самую	
языке	jɪzɨˈke
думает	ˈduməjɪt
дурак	doˈrak
думала	ˈduməɫə
спине	spɪˈne
главным	ˈɡɫavnɨm
шоссе	ʂɐˈsːɛ
очевидно	ot͡ʃɛˈvidno
отвечает	ɐtvɪˈt͡ɕæjɪt
показать	pəkɐˈzat
сильнее	sɪlˈneje
отчего	ɐt͡ɕːɪˈvo
понимает	pənɪˈmajɪt
платье	ˈpɫatje
телефону	tɪlɪˈfonʊ
стыдно	ˈstɨdnə
ощущение	ɐɕːʉˈɕːenɪje
заговорил	zəɡəvɐˈriɫ
брать	brat
миллионов	mɪlɪˈonəf
полчаса	ˌpoɫt͡ɕɪˈsa
огромный	ɐˈɡromnɨj
берега	ˈberɪɡə
выйти	ˈvɨjtɪ
ответа	ɐtˈvetə
вел	vɛɫ
сотни	ˈsotnɪ
детства	ˈdɛtstva
факт	fakt
вряд	vrat
товарища	tɐˈvarɪɕːə
исчез	ɪˈɕːes
зале	ˈzale
ваша	ˈvaʂa
самолет	sɐmoˈlɛt
см	səntɪˈmetr
раздался	rɐzˈdaɫsə
дыхание	dɨˈxanɪje
тепло	tɪˈpɫo
край	kraj
ногах	nɐˈɡax
ладони	ɫɐˈdonɪ
побежал	pəbɪˈʐaɫ
солдаты	sɐɫˈdatɨ
отношение	otnoˈʃɛniɛ
улыбкой	ʊˈɫɨpkəj
оттого	ɐtːɐˈvo
старого	ˈstarəvə
природы	prɪˈrodɨ
ровно	ˈrovnə
писатель	pɪˈsatɪl
попытался	pəpɨˈtaɫsə
села	sɛˈɫa
скажет	ˈskaʐɨt
заниматься	zənɪˈmat͡sːə
ответить	ɐtˈvetɪt
встречи	ˈfstret͡ɕɪ
кухне	ˈkuxne
больших	ˈbolʂɨx
культуры	kʊlˈturɨ
ею	ˈjejʊ
дверей	dvɪˈrej
мальчика	ˈmalt͡ɕɪkə
сунул	ˈsunʊɫ
широко	ʃiˈrɔko
ход	xɔt
высокий	vɨˈsokɪj
ногой	nɐˈɡoj
настоящий	nəstɐˈjæɕːɪj
ящик	ˈjæɕːɪk
единственный	jɪˈdinstvɪnːɨj
большое	
ситуации	situˈat͡sii
папа	ˈpapa
вина	viˈna
полный	ˈpoɫnɨj
русского	ˈruskəvə
процентов	prɐˈt͡sɛntəf
советской	
говоришь	ɡəvɐˈriʂ
воздуха	vɐzˈduxə
тщательно	ˈt͡ɕɕːætɪlnə
стран	stran
дают	dɐˈjut
суд	sud
закон	zaˈkon
кожи	ˈkɔʒi
уходит	ʊˈxodɪt
страну	strɐˈnu
целью	ˈt͡sɛljʊ
палец	palec
перестал	pɪrɪˈstaɫ
следовало	ˈsledəvəɫə
поставить	pɐˈstavɪt
счастья	ˈɕːæstjə
понимать	pənɪˈmat
э	ye
останется	ɐˈstanɪt͡sə
появились	pəjɪˈvilɪs
сознания	sɐzˈnanɪjə
времен	ˈvrɛmɛn
ударил	ʊˈdarɪɫ
ребенок	
кабинете	kəbɪˈnete
песни	ˈpesnɪ
многое	ˈmnoɡəjə
кричит	krɪˈt͡ɕit
спрашиваю	ˈspraʂɨvəjʊ
кресло	krɛˈsɫɔ
сне	snɛ
средств	sret͡stf
дух	dux
бежать	bɪˈʐat
сапоги	səpɐˈɡi
книг	knik
ждали	ˈʐdalɪ
солнца	ˈsont͡sə
путем	pǔːtem
везде	vɪzˈde
радостно	ˈradəsnə
радио	ˈradio
прошли	prɐʂˈli
обернулся	ɐbɪrˈnuɫsə
роман	roman
начало	nɐˈt͡ʃa̟ɫo
мировой	mɪrɐˈvoj
рта	rta
дым	dɯ̞m
виноват	vɪnɐˈvat
мужчины	mʊˈɕːinɨ
ворот	ˈvorət
родители	rɔˈditɛli
девушки	ˈdevʊʂkɪ
операции	ɔpɛˈrat͡sii
главный	ˈɡɫavnɨj
л	el
держать	dɪrˈʐat
родителей	rɐˈditɪlɪj
посмотрела	pəsmɐˈtreɫə
задумчиво	zɐˈdumt͡ɕɪvə
отличие	oˈtlit͡ʃiɛ
семье	sɪˈmje
народу	nɐˈrodʊ
ходили	ˈxɔdili
заметно	zɐˈmetnə
собирался	səbɪˈraɫsə
четырех	
краю	ˈkrajʊ
ушли	ʊʂˈli
звук	zvuk
молодые	məɫɐˈdɨje
старые	ˈstarɨje
появляется	pəjɪˈvlæjɪt͡sə
выпить	ˈvɨpɪt
быстрее	bɨˈstreje
речи	rɛˈt͡ʃi
звали	ˈzvalɪ
вспомнить	ˈfspomnɪt
возразил	vəzrɐˈziɫ
территории	tɪrɪˈtorɪɪ
будущее	ˈbudʊɕːɪje
старой	
группа	ˈɡrupːə
оставил	ɐˈstavɪɫ
поговорить	pəɡəvɐˈrit
мною	ˈmnoju
махнул	mɐxˈnuɫ
принес	
мягко	ˈmaxkə
богу	ˈboɡʊ
холодно	ˈxoɫədnə
цвет	ćviet
сказано	ˈskazɐnɔ
похож	pɐˈxoʂ
тишина	tiʃiˈna
ходит	ˈxodɪt
организации	ɔrɡaniˈzat͡sii
всяких	
выпил	ˈvɨpɪɫ
неба	ˈneba
век	viek
шепотом	ˈʂopətəm
слава	słava
стоять	stɐˈjæt
название	nɐzˈvanɪje
милиции	mɪˈlit͡sɨɪ
пойти	pɐjˈti
видимому	
аккуратно	ɐkʊˈratnə
оглянулся	ɐɡlɪˈnuɫsə
прошла	prɐʂˈɫa
радость	ˈradəst
улыбаясь	ʊɫɨˈbajɪs
хвост	xvost
любят	ˈlʉbət
некогда	ˈnekəɡdə
приходит	prɪˈxodɪt
помнил	ˈpomnɪɫ
события	sɐˈbɨtɪjə
летом	ˈletəm
каждым	ˈkaʐdɨm
шагов	ʂɐˈɡof
очередной	ɐt͡ɕɪrɪdˈnoj
твоей	tvɐˈjej
стену	ˈstenʊ
вещь	veş
зависит	zɐˈvisɪt
книга	ˈkniɡɐ
множество	ˈmnɔʒɛstvɔ
ворота	vɐˈrotə
немцев	ˈnemt͡sɨf
радости	ˈradɔsti
позади	ˈpɔzadi
окном	ɐkˈnom
написать	nəpɪˈsat
король	koröl
бывший	ˈbɨfʂɨj
последней	pɐsˈlednɪj
собаки	sɐˈbakɪ
иди	ɪˈdi
врач	vrat͡ʃ
вслух	fsɫux
самим	
литературы	lɪtɪrɐˈturɨ
русские	ˈruskɪje
бой	bɔj
формы	ˈformɨ
значение	znɐˈt͡ʃɛniɛ
др	
последнего	pɐsˈlednɪvə
непременно	nɪprɪˈmenːə
боюсь	bɐˈjʉs
края	ˈkrajɐ
гостей	ɡɐˈstej
безопасности	bɪzɐˈpasnəstɪ
женщину	ˈʐɛnɕːɪnʊ
исключительно	ɪsklʉˈt͡ɕitɪlnə
зубами	zʊˈbamɪ
жене	ʐɨˈne
очки	ɐt͡ɕˈki
большинство	bəlʂɨnstˈvo
коридор	koriˈdɔr
каждому	ˈkaʐdəmʊ
пройти	prɐjˈti
поняли	ˈponɪlɪ
государство	ɡəsʊˈdarstvə
увидели	ʊˈvidɪlɪ
пробормотал	prəbərmɐˈtaɫ
бросился	ˈbrosɪɫsə
бабушка	ˈbabuʂka
стул	stuɫ
органов	ˈorɡənəf
вынул	ˈvɨnʊɫ
суток	ˈsutək
производства	prəɪzˈvot͡stvə
обнаружил	ɐbnɐˈruʐɨɫ
страна	strɐˈna
мнение	ˈmnɛniɛ
назвать	nɐzˈvat
начинается	nət͡ɕɪˈnajɪt͡sə
говорите	ɡoˈvɔritɛ
пытаясь	pɨˈtajɪs
событий	sɐˈbɨtɪj
уровне	ˈurəvne
живот	ʒiˈvɔt
постели	ˈpɔstɛli
увидела	ʊˈvidɪɫə
небе	nɛˈbɛ
водки	ˈvotkɪ
поезд	ˈpojɪz
маленькая	
личности	ˈlit͡ʃnɔsti
немало	nɪˈmaɫə
коротко	ˈkorətkə
встретил	ˈfstretɪɫ
кровью	ˈkrovjʊ
назвал	nɐzˈvaɫ
справа	ˈsprava
успели	ʊˈspelɪ
сестра	sɛˈstra
нею	ˈnejʊ
здоровье	zdɐˈrovje
подходит	pɐtˈxodɪt
разговора	rəzɡɐˈvorə
глядел	ɡlɪˈdeɫ
пил	piɫ
адрес	ˈädrɪs
являются	jɪˈvlæjʊt͡sə
автор	ˈaftor
линии	ˈlinii
тему	ˈtemʊ
просил	prɐˈsiɫ
купил	ˈkupiɫ
нож	noʂ
звезды	zvɪzˈdɨ
снегу	ˈsneɣu
общество	opʃtɛstˈvɔ
правительства	prɐˈvitɪlstvə
остаться	ɐˈstat͡sːə
сущности	ˈsuɕːnəstɪ
маленькие	
глубине	ɡɫʊbɪˈne
связь	svæs
незаметно	nɪzɐˈmetnə
делали	ˈdeɫəlɪ
верить	ˈverɪt
пространство	ˈprɔstranstvɔ
повезло	pəvɪzˈɫo
знакомый	znɐˈkomɨj
белых	ˈbeɫɨx
высоко	vɨsɐˈko
благодаря	bɫɐɡodɐˈrɤ̟
чужой	t͡ɕʊˈʐoj
вечно	ˈvɛt͡ʃnɔ
каждую	ˈkaʐdʊjʊ
класс	kɫas
здорово	ˈzdorəvə
игры	ɪˈɡrɨ
отправился	ɐtˈpravɪɫsə
семья	sɪˈmja
спрашивал	ˈspraʂɨvəɫ
пистолет	pistoˈlɛt
мешок	mɪˈʂok
штаны	ʂtaˈnɨ
торопливо	tərɐˈplivə
метро	meˈtro
левой	
советских	
домов	dɐˈmof
объявил	ɐbjɪˈviɫ
знак	znak
умел	oˈmɛɫ
возникает	vəznɪˈkajɪt
тетя	
цветы	t͡svɪˈtɨ
словам	sɫɐˈvam
улыбнулась	ʊɫɨbˈnuɫəs
попасть	pɐˈpast
двадцати	dvət͡sːɨˈti
любого	lʊˈbovə
площадь	ˈpɫoɕːɪt
разговоры	rəzɡɐˈvorɨ
пришло	prɪʂˈɫo
зеркало	ˈzerkəɫə
оружия	ɐˈruʐɨjə
ярко	ˈjarkə
зло	zɫɔ
неплохо	nɪˈpɫoxə
поехал	pɐˈjexəɫ
слева	ˈslevə
имели	ɪˈmelɪ
молодого	mɔɫɔˈdɔɦɔ
лето	ˈlɛtɔ
рост	rost
значительно	znɐˈt͡ɕitɪlnə
районе	rɐˈjɵne
бок	bok
вещей	vɪˈɕːej
десяти	dɪsɪˈti
всякой	ˈfsakəj
решила	rɛˈʃiɫɐ
стекла	stɪˈkɫa
коридоре	kərɪˈdore
двести	ˈdvestɪ
жила	ˈʒiɫɐ
картины	kɐrˈtinɨ
идея	iˈdɛjɐ
длинные	ˈdlinːɨje
привык	prɪˈvɨk
отлично	ɐtˈlit͡ɕnə
ваших	ˈvaʂɨx
полка	ˈpɔɫka
роли	ˈrolɪ
закрыл	zɐˈkrɨɫ
настроение	nɐstroˈɛniɛ
возрасте	ˈvozrəste
этаж	ɪˈtaʂ
насколько	nɐˈskolkə
обе	ˈobe
началась	nət͡ɕɪˈɫas
деревьев	dɪˈrevjɪf
последних	pɐsˈlednɪx
всякие	
старых	ˈstarɨx
оставить	ɐˈstavɪt
новая	ˈnovaja
нигде	ˈniɡdɛ
считает	ɕːɪˈtajɪt
особо	ɐˈsobə
невольно	nɪˈvolnə
родился	rɐˈdiɫsə
твое	ˈtvɔɛ
дерево	ˈdɛrɛʋɔ
третьего	ˈtretjɪvə
остальных	ɐstɐlˈnɨx
вопросов	vɐˈprosəf
подальше	pɐˈdalʂɨ
жаль	ʐal
двенадцать	dvɪˈnat͡sːɨt
лошадь	ˈɫoʂət
старуха	stɐˈruxə
провел	
рад	rad
смех	smex
большого	bɐlˈʂovə
институт	instiˈtut
начать	nɐˈt͡ɕæt
ключ	klut͡ʂ
уехал	ʊˈjexəɫ
шее	ˈʂɛje
брови	ˈbrovɪ
покачал	pəkɐˈt͡ɕaɫ
хорошего	
жив	ʒif
вышло	ˈvɨʂɫə
кафе	kɐˈfɛ
губами	ɡʊˈbamɪ
замуж	ˈzamʊʂ
ведет	
борьбы	bɐrˈbɨ
бывают	bɨˈvajʊt
требует	ˈtrebʊjɪt
думаете	ˈduməjɪte
какими	kɐˈkimɪ
разговаривать	rəzɡɐˈvarɪvət
пыли	ˈpɨlɪ
дам	dam
билет	biˈlɛt
тень	ten
языка	jɪzɨˈka
штаба	ˈʃtaba
нашему	ˈnaʂɨmʊ
мужчин	mʊˈɕːin
фоне	ˈfone
цель	t͡sɛl
господа	ɡospoˈda
инженер	injener
различных	
высокой	vɨˈsokəj
твою	tvɐˈju
немножко	nɪˈmnoʂkə
секунд	siˈkunt
противника	prɐˈtivnɪkə
началось	nət͡ɕɪˈɫos
обратился	ɐbrɐˈtiɫsə
генерала	ɡɪnɪˈraɫə
родной	rɐdˈnoj
отсутствие	ɐt͡sˈsut͡stvɪje
кровать	krɐˈvat
русски	ˈruskɪ
войск	vojsk
ужасно	oˈʒa̟sno
языком	jɪzɨˈkom
поверхности	pɐˈverxnəstɪ
правой	
детстве	ˈdet͡stve
человечества	t͡ɕɪɫɐˈvet͡ɕɪstvə
вернее	vɪrˈneje
девять	ˈdɛʋjat
энергии	ɪˈnɛrɡɪɪ
сторонам	stərɐˈnam
след	slet
следы	slɪˈdɨ
ряд	rat
лиц	lit͡s
фамилия	fɐˈmilɪjə
огня	ɐɡˈna
число	t͡ʃiˈsɫɔ
музыка	ˈmuzɨka
роста	ˈrostə
пыль	pɨl
бежал	bɪˈʐaɫ
вовремя	ˈvovrɪmə
сперва	spɪrˈva
положении	pəɫɐˈʐɛnɪɪ
решения	rɛˈʃɛnijɐ
картину	kɐrˈtinʊ
животных	ʐɨˈvotnɨx
деревни	dɪˈrevnɪ
негромко	nɪˈɡromkə
отношении	ɐtnɐˈʂɛnɪɪ
непонятно	nɪpɐˈnatnə
стоило	ˈstoɪɫə
настоящее	nəstɐˈjæɕːɪje
вида	ˈvidɐ
внутрь	vnutr
начинал	nət͡ɕɪˈnaɫ
полез	pɐˈles
поэт	pɐˈɛt
горло	ˈɡorɫə
военных	vɐˈjenːɨx
сей	sɪ̞j
полном	
делается	ˈdeɫəjɪt͡sə
кресле	ˈkresle
снизу	ˈsnizʊ
старшина	starşina
играл	iˈɡraɫ
дерева	ˈderɪvə
отдал	ˈodːəɫ
спит	ˈspit
сможет	ˈsmoʐɨt
будущего	ˈbudʊɕːɪvə
чудо	ˈt͡ʃu̟do
книге	ˈkniɡe
судьбы	sʊdˈbɨ
выяснилось	ˈvɨjɪsnɪɫəs
костюм	koˈstu̟m
забыть	zɐˈbɨt
снега	ˈsneɡə
директора	dɪˈrektərə
смешно	ˈsmɛʃnɔ
простой	prɐˈstoj
работали	rɐˈbotəlɪ
городу	ˈɡorədʊ
называют	nəzɨˈvajʊt
прошлого	ˈproʂɫəvə
неловко	nɪˈɫofkə
сердито	sɪrˈditə
поэта	pɐˈɛtə
якобы	ˈjakəbɨ
захотелось	zəxɐˈteɫəs
обещал	obɛʃˈtaɫ
реке	rɪˈke
охотно	ɐˈxotnə
убить	ʊˈbit
будущем	ˈbudʊɕːɪm
интерес	intɛˈrɛs
сделала	ˈzdeɫəɫə
